City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Cayenne,GF,71.92,moderate rain,4.25,-54.3833,
110,Vavozh,RU,22.08,few clouds,61.113,44.8302,
111,Nikolskoye,RU,22.08,few clouds,61.113,44.8302,
112,Nishiwaki,JP,53.89,scattered clouds,35.7333,140.8333,
115,Khandyga,RU,22.08,few clouds,61.113,44.8302,
116,Machico,PT,58.03,overcast clouds,39.05,-27.9833,
117,Florida,UY,56.91,clear sky,-34.4833,-54.3333,
118,Yasnyy,RU,22.08,few clouds,61.113,44.8302,
121,Barrow,US,55.92,clear sky,34.8791,-76.9013,
122,Khani,RU,22.08,few clouds,61.113,44.8302,
124,Kaitangata,NZ,58.8,clear sky,-46.6,168.3333,
125,Klyuchi,RU,22.08,few clouds,61.113,44.8302,
126,Jalu,LY,58.42,overcast clouds,29.1081,21.2869,
127,Bilibino,RU,22.08,few clouds,61.113,44.8302,
128,Ancud,CL,46.11,broken clouds,-53.15,-70.9167,
133,Purranque,CL,46.11,broken clouds,-53.15,-70.9167,
134,Chepareria,KE,66.45,few clouds,1.3077,35.2039,
135,Nago,JP,53.89,scattered clouds,35.7333,140.8333,
136,Kenai,US,55.92,clear sky,34.8791,-76.9013,
137,Melilla,ES,50.38,clear sky,35.2937,-2.9383,
142,Kamenka,RU,22.08,few clouds,61.113,44.8302,
144,Winslow,US,55.92,clear sky,34.8791,-76.9013,
145,Ngama,TD,73.9,scattered clouds,11.7833,17.1667,
146,Plettenberg Bay,ZA,69.35,light rain,-33.9258,18.4232,
148,Vardo,NO,33.98,light snow,71.0357,27.8492,
149,Penzance,GB,51.01,overcast clouds,50.1186,-5.5371,
150,Margate,ZA,69.35,light rain,-33.9258,18.4232,
151,Guerrero Negro,AR,66.78,clear sky,-33.295,-66.3356,
154,Pevek,RU,22.08,few clouds,61.113,44.8302,
155,Lumberton,US,55.92,clear sky,34.8791,-76.9013,
156,Anadyr,RU,22.08,few clouds,61.113,44.8302,
157,Solnechnyy,RU,22.08,few clouds,61.113,44.8302,
158,Bethel,US,55.92,clear sky,34.8791,-76.9013,
160,San Ramon,US,58.53,clear sky,37.7799,-121.978,
161,Coahuayana,AR,66.78,clear sky,-33.295,-66.3356,
164,Tura,RU,22.08,few clouds,61.113,44.8302,
165,Taoudenni,ML,71.38,clear sky,18.9048,-3.5265,
166,Upata,VE,73.18,clear sky,8.0086,-62.3989,
168,Novyy Urengoy,RU,22.08,few clouds,61.113,44.8302,
170,Abu Dhabi,AE,67.96,clear sky,24.4667,54.3667,
171,Kamenskoye,RU,22.08,few clouds,61.113,44.8302,
172,Khatanga,RU,22.08,few clouds,61.113,44.8302,
173,Dafeng,CN,43.92,broken clouds,41.7597,86.1469,
177,Lasa,CN,43.92,broken clouds,41.7597,86.1469,
178,Revyakino,RU,22.08,few clouds,61.113,44.8302,
179,Sasina,BA,26.58,few clouds,44.7987,16.739,
180,Belushya Guba,RU,22.08,few clouds,61.113,44.8302,
181,Ostrovnoy,RU,22.08,few clouds,61.113,44.8302,
182,Sentyabrskiy,RU,22.08,few clouds,61.113,44.8302,
183,Leningradskiy,RU,22.08,few clouds,61.113,44.8302,
184,Tessalit,ML,71.38,clear sky,18.9048,-3.5265,
187,Dakar,SN,63.48,broken clouds,14.6937,-17.4441,
189,San Patricio,AR,66.78,clear sky,-33.295,-66.3356,
191,Mafinga,TZ,67.75,broken clouds,-7.25,35.0667,
193,Aykhal,RU,22.08,few clouds,61.113,44.8302,
195,Chokurdakh,RU,22.08,few clouds,61.113,44.8302,
196,Borgo San Dalmazzo,IT,47.77,clear sky,38.2779,16.302,
197,Nome,US,55.92,clear sky,34.8791,-76.9013,
199,Pisco,PE,70.02,overcast clouds,-13.7,-76.2167,
200,Nurobod,UZ,47.25,scattered clouds,40.9056,69.8023,
202,Basqal,AZ,40.8,overcast clouds,40.7552,48.391,
204,Constitucion,AR,66.78,clear sky,-33.295,-66.3356,
208,Haverhill,US,55.92,clear sky,34.8791,-76.9013,
209,Severo-Kurilsk,RU,22.08,few clouds,61.113,44.8302,
211,Lebu,CL,46.11,broken clouds,-53.15,-70.9167,
212,Terney,RU,22.08,few clouds,61.113,44.8302,
213,Asfi,MA,55.13,clear sky,32.2994,-9.2372,
214,Airai,TL,74.01,broken clouds,-8.9266,125.4092,
216,Port Alfred,ZA,69.35,light rain,-33.9258,18.4232,
218,Saldanha,ZA,69.35,light rain,-33.9258,18.4232,
220,Hovd,MN,29.41,broken clouds,45.7625,106.2708,
221,Gorele,TR,34.63,snow,41.0155,34.0401,
222,Kikwit,CD,66.92,overcast clouds,-5.041,18.8162,
223,Chadiza,ZM,64.6,overcast clouds,-14.0678,32.4392,
224,Saskylakh,RU,22.08,few clouds,61.113,44.8302,
